drugbank_id,name,type,groups,indication,description,category,known_action,actions,uniprot_id
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",target,unknown,binder,Q05586
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",enzyme,unknown,inhibitor,P20813
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",enzyme,unknown,inhibitor,P11509
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",enzyme,unknown,inhibitor,P33261
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",transporter,unknown,substrate,O15244
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",transporter,unknown,,P19634
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",transporter,unknown,,Q9H015
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",transporter,unknown,,Q96FL8
DB04864,Huperzine A,small molecule,approved|experimental,Investigated for use/treatment in alzheimer's disease.,"Huperzine A, is a naturally occurring sesquiterpene alkaloid found in the extracts of the firmoss <i>Huperzia serrata</i>. The botanical has been used in China for centuries for the treatment of swelling, fever and blood disorders. Recently in clinical trials in China, it has demonstrated neuroprotective effects. It is currently being investigated as a possible treatment for diseases characterized by neurodegeneration – particularly Alzheimer’s disease.",target,unknown,inhibitor,P22303
DB09149,Florbetapir (18F),small molecule,approved|investigational,Florbetapir 18F is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.,"Florbetapir (18F) is a radiopharmaceutical compound containing the radionuclide fluorine-18 bound to the compound florbetapir, a molecule that binds with high affinity to beta amyloid plaque, a peptide that plays a key role in Alzheimer's Disease pathogenesis. Marketed as the product Amyvid, florbetapir 18F is indicated for positron emission tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.  

The radionucleide fluorine-18 was chosen as it has a half life of 110 minutes allowing it to accumulate sufficiently in the brain before undergoing positon emission decay.",target,yes,binder,P05067
DB09151,Flutemetamol (18F),small molecule,approved|investigational,Flutemetamol F18 is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's disease (AD) or other causes of cognitive decline. ,Flutemetamol (18F) is a PET scanning radiopharmaceutical containing the radionuclide fluorine-18. It is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's disease (AD) or other causes of cognitive decline.,target,yes,binder,P05067
DB14914,Flortaucipir F-18,small molecule,approved|investigational,Flortaucipir F-18 is a radioactive agent indicated for positron emission tomography (PET) imaging of aggregated tau neurofibrillary tangles (NFTs) in adult patients under evaluation for Alzheimer's disease. Flortaucipir F-18 is not indicated for use in patients under evaluation for chronic traumatic encephalopathy.[L14114],"Flortaucipir F-18, also known as <sup>18</sup>F-T807 and <sup>18</sup>F-AV-1451, is a small indole molecule synthesized with a radioactive fluorine isotope.[A203933] It is used as a marker in positron emission tomography (PET) imaging of patients suspected of having Alzheimer's disease. After crossing the blood-brain barrier, flortaucipir F-18 binds to aggregated tau protein, a hallmark of Alzheimer's disease whose incidence correlates well with disease progression.[A203933, A203936, A203939]

Although flortaucipir F-18 displays low levels of background binding throughout the brain,[A203936] it does display off-target binding to monoamine oxidase MAO-A and MAO-B, as well as to regions containing high levels of melanin, neuromelanin, and iron.[A203942, A203945]. It was approved by the FDA on May 28, 2020, for sale by Avid Radiopharmaceuticals under the name TAUVID™ and is the first FDA-approved molecule for imaging aggregated tau protein in the brain.[L14114]",target,yes,binder,P10636
DB14914,Flortaucipir F-18,small molecule,approved|investigational,Flortaucipir F-18 is a radioactive agent indicated for positron emission tomography (PET) imaging of aggregated tau neurofibrillary tangles (NFTs) in adult patients under evaluation for Alzheimer's disease. Flortaucipir F-18 is not indicated for use in patients under evaluation for chronic traumatic encephalopathy.[L14114],"Flortaucipir F-18, also known as <sup>18</sup>F-T807 and <sup>18</sup>F-AV-1451, is a small indole molecule synthesized with a radioactive fluorine isotope.[A203933] It is used as a marker in positron emission tomography (PET) imaging of patients suspected of having Alzheimer's disease. After crossing the blood-brain barrier, flortaucipir F-18 binds to aggregated tau protein, a hallmark of Alzheimer's disease whose incidence correlates well with disease progression.[A203933, A203936, A203939]

Although flortaucipir F-18 displays low levels of background binding throughout the brain,[A203936] it does display off-target binding to monoamine oxidase MAO-A and MAO-B, as well as to regions containing high levels of melanin, neuromelanin, and iron.[A203942, A203945]. It was approved by the FDA on May 28, 2020, for sale by Avid Radiopharmaceuticals under the name TAUVID™ and is the first FDA-approved molecule for imaging aggregated tau protein in the brain.[L14114]",target,no,binder,P21397
DB14914,Flortaucipir F-18,small molecule,approved|investigational,Flortaucipir F-18 is a radioactive agent indicated for positron emission tomography (PET) imaging of aggregated tau neurofibrillary tangles (NFTs) in adult patients under evaluation for Alzheimer's disease. Flortaucipir F-18 is not indicated for use in patients under evaluation for chronic traumatic encephalopathy.[L14114],"Flortaucipir F-18, also known as <sup>18</sup>F-T807 and <sup>18</sup>F-AV-1451, is a small indole molecule synthesized with a radioactive fluorine isotope.[A203933] It is used as a marker in positron emission tomography (PET) imaging of patients suspected of having Alzheimer's disease. After crossing the blood-brain barrier, flortaucipir F-18 binds to aggregated tau protein, a hallmark of Alzheimer's disease whose incidence correlates well with disease progression.[A203933, A203936, A203939]

Although flortaucipir F-18 displays low levels of background binding throughout the brain,[A203936] it does display off-target binding to monoamine oxidase MAO-A and MAO-B, as well as to regions containing high levels of melanin, neuromelanin, and iron.[A203942, A203945]. It was approved by the FDA on May 28, 2020, for sale by Avid Radiopharmaceuticals under the name TAUVID™ and is the first FDA-approved molecule for imaging aggregated tau protein in the brain.[L14114]",target,no,binder,P27338
